aX,aY,aZ
-0.033,0.19,1.017
-0.033,0.198,1.022
-0.034,0.204,1.03
-0.034,0.208,1.04
-0.034,0.208,1.046
-0.033,0.211,1.047
-0.031,0.211,1.05
-0.031,0.208,1.05
-0.034,0.205,1.056
-0.036,0.201,1.06
-0.039,0.195,1.066
-0.039,0.187,1.069
-0.041,0.187,1.075
-0.045,0.177,1.079
-0.05,0.161,1.079
-0.06,0.141,1.079
-0.07,0.121,1.078
-0.079,0.1,1.076
-0.079,0.079,1.071
-0.085,0.064,1.065
-0.086,0.064,1.059
-0.084,0.055,1.059
-0.078,0.049,1.054
-0.069,0.041,1.048
-0.06,0.037,1.039
-0.06,0.033,1.03
-0.047,0.029,1.021
-0.033,0.029,1.01
-0.021,0.024,0.885
-0.008,0.016,0.997
0.006,0.005,0.987
0.02,-0.004,0.978
0.02,-0.012,0.972
0.034,-0.018,0.967
0.049,-0.018,0.96
0.066,-0.02,0.953
0.08,-0.021,0.953
0.092,-0.022,0.945
0.099,-0.026,0.933
0.099,-0.029,0.914
0.099,-0.031,0.895
0.096,-0.031,0.885
0.092,-0.037,0.877
0.085,-0.05,0.877
0.076,-0.062,0.874
0.066,-0.07,0.868
0.061,-0.076,0.861
0.061,-0.082,0.858
0.055,-0.087,0.857
0.053,-0.087,0.857
0.054,-0.088,0.86
0.058,-0.089,0.86
0.063,-0.093,0.865
0.071,-0.098,0.871
0.071,-0.115,0.875
0.082,-0.135,0.875
0.092,-0.135,0.873
0.099,-0.15,0.872
0.1,-0.171,0.872
0.102,-0.2,0.873
0.113,-0.268,0.878
0.238,-0.439,0.882
0.127,-0.404,0.863
0.1,-0.254,0.851
0.076,-0.254,0.866
0.09,-0.268,0.991
0.102,-0.28,0.878
0.125,-0.286,0.893
0.161,-0.294,0.911
0.161,-0.304,0.914
0.191,-0.31,0.907
0.207,-0.31,0.895
0.209,-0.311,0.886
-0.059,0.79,1.419
-0.059,0.784,1.443
-0.147,0.659,1.464
-0.253,0.701,1.478
-0.348,0.559,1.478
-0.416,0.399,1.482
-0.452,0.248,1.457
-0.458,0.124,1.406
-0.458,0.042,1.354
-0.436,-0.013,1.309
-0.383,-0.013,1.28
-0.306,-0.046,1.266
-0.216,-0.056,1.266
-0.127,-0.043,1.258
-0.05,-0.016,1.23
0.009,0.014,1.169
0.009,0.031,1.101
0.049,0.042,1.056
0.074,0.042,1.028
0.087,0.051,1.028
0.089,0.054,1.001
0.084,0.058,0.972
0.069,0.066,0.943
0.069,0.053,0.889
0.045,0.028,0.83
0.028,0.028,0.802
0.022,0.019,0.802
0.024,0.012,0.785
0.037,0.008,0.774
0.058,0.01,0.773
0.058,0.015,0.78
0.083,0.018,0.787
0.107,0.018,0.795
0.13,0.017,0.806
0.153,0.014,0.806
0.172,0.017,0.819
0.184,0.024,0.836
0.184,0.034,0.849
0.188,0.045,0.854
0.182,0.045,0.868
0.17,0.06,0.887
0.159,0.078,0.887
0.146,0.097,0.913
0.138,0.119,0.949
0.138,0.146,0.996
0.14,0.171,1.035
0.136,0.171,1.057
0.121,0.189,1.079
0.102,0.2,1.079
0.08,0.202,1.103
0.05,0.199,1.124
0.021,0.197,1.144
0.021,0.194,1.168
-0.005,0.195,1.195
-0.031,0.195,1.218
-0.056,0.196,1.218
-0.077,0.196,1.237
-0.096,0.197,1.255
-0.113,0.203,1.272
-0.238,0.209,1.291
-0.127,0.201,1.299
-0.141,0.201,1.292
-0.153,0.179,1.28
-0.161,0.158,1.28
-0.161,0.143,1.268
-0.155,0.133,1.254
-0.145,0.123,1.24
-0.145,0.11,1.226
-0.131,0.11,1.218
-0.112,0.104,1.208
-0.097,0.109,1.208
-0.077,0.113,1.198
-0.052,0.116,1.191
-0.038,0.114,1.166
-0.038,0.111,1.125
-0.031,0.117,1.097
-0.022,0.117,1.08
-0.01,0.126,1.063
0.001,0.129,1.063
0.011,0.131,1.043
0.021,0.133,1.022
0.021,0.129,1.003
0.033,0.122,0.985
0.04,0.122,0.967
0.046,0.112,0.949
0.053,0.096,0.949
0.059,0.081,0.935
0.061,0.07,0.926
0.066,0.064,0.919
0.066,0.054,0.915
0.076,0.054,0.91
0.077,0.039,0.88
0.063,0.019,0.88
0.057,0.008,0.852
0.065,0,0.847
0.072,-0.019,0.838
0.072,-0.033,0.829
0.081,-0.033,0.829
0.096,-0.044,0.833
0.109,-0.054,0.833
0.12,-0.064,0.834
0.127,-0.073,0.835
0.129,-0.081,0.833
0.129,-0.095,0.83
0.13,-0.114,0.828
0.129,-0.114,0.827
0.13,-0.136,0.83
0.127,-0.154,0.83
0.121,-0.168,0.83
0.112,-0.177,0.825
0.105,-0.182,0.824
0.105,-0.188,0.828
0.102,-0.188,0.83
0.095,-0.196,0.828
0.089,-0.203,0.828
0.087,-0.206,0.827
0.081,-0.214,0.828
0.073,-0.223,0.82
0.073,-0.226,0.81
0.122,1.803,1.907
0.1,1.803,2.153
-0.048,1.769,2.182
-0.246,1.288,2.182
-0.451,0.703,2.012
-0.63,0.246,1.753
-0.748,-0.031,1.494
-0.748,-0.161,1.296
-0.788,-0.207,1.177
-0.752,-0.207,1.135
-0.654,-0.224,1.135
-0.508,-0.222,1.154
-0.337,-0.19,1.199
-0.173,-0.119,1.234
-0.048,-0.04,1.228
-0.034,0.022,1.177
0.078,0.022,1.113
0.157,0.063,1.059
0.212,0.084,1.059
0.247,0.09,1.008
0.257,0.092,0.957
0.245,0.1,0.914
0.245,0.118,0.869
0.218,0.118,0.827
0.183,0.146,0.773
0.158,0.149,0.649
0.139,0.117,0.7
0.126,0.095,0.644
0.122,0.092,0.623
0.122,0.092,0.629
0.12,0.092,0.655
0.118,0.092,0.699
0.118,0.092,0.771
0.116,0.1,0.771
0.102,0.128,0.876
0.072,0.158,0.951
0.036,0.17,0.961
0.036,0.178,0.951
0.005,0.178,0.943
-0.019,0.189,0.945
-0.037,0.197,0.945
-0.042,0.197,0.961
-0.038,0.191,0.988
-0.032,0.182,1.02
-0.032,0.168,1.047
-0.025,0.155,1.068
-0.022,0.155,1.095
-0.028,0.152,1.22
-0.043,0.169,1.133
-0.07,0.191,1.179
-0.107,0.186,1.2
-0.107,0.156,1.193
-0.136,0.129,1.179
-0.152,0.129,1.173
-0.158,0.118,1.176
-0.157,0.116,1.176
-0.149,0.111,1.176
