aX,aY,aZ
-0.077,-0.489,1.005
-0.067,-0.519,1.006
-0.067,-0.541,0.999
-0.062,-0.552,0.989
-0.059,-0.552,0.977
-0.054,-0.555,0.965
-0.047,-0.55,0.965
-0.037,-0.547,0.956
-0.021,-0.547,0.951
-0.002,-0.547,0.95
-0.002,-0.545,0.947
0.015,-0.545,0.941
0.031,-0.537,0.941
0.05,-0.524,0.941
0.066,-0.513,0.945
0.079,-0.508,0.951
0.087,-0.507,0.957
0.087,-0.51,0.963
0.09,-0.521,0.962
0.087,-0.521,0.959
0.08,-0.534,0.956
0.075,-0.549,0.956
0.073,-0.571,0.953
0.072,-0.595,0.95
0.069,-0.616,0.943
0.069,-0.636,0.939
0.065,-0.636,0.94
0.057,-0.65,0.941
0.046,-0.653,0.941
0.036,-0.646,0.942
0.022,-0.633,0.946
0.006,-0.618,0.949
0.006,-0.595,0.946
-0.01,-0.595,0.939
-0.038,-0.566,0.938
-0.068,-0.547,0.938
-0.086,-0.549,0.936
-0.094,-0.554,0.916
-0.103,-0.544,0.882
-0.103,-0.523,0.844
-0.119,-0.503,0.808
-0.14,-0.503,0.786
-0.162,-0.491,0.783
-0.173,-0.488,0.783
-0.174,-0.497,0.796
-0.16,-0.51,0.821
-0.135,-0.516,0.856
-0.135,-0.517,0.898
-0.105,-0.511,0.945
-0.079,-0.511,0.991
-0.062,-0.498,1.116
-0.054,-0.48,1.013
-0.055,-0.457,1.006
-0.054,-0.431,1
-0.054,-0.416,1.006
-0.054,-0.424,1.022
-0.051,-0.424,1.042
-0.047,-0.446,1.055
-0.046,-0.475,1.055
-0.051,-0.499,1.056
-0.061,-0.506,1.053
-0.071,-0.498,1.045
-0.071,-0.483,1.04
-0.075,-0.483,1.043
-0.071,-0.464,1.05
-0.062,-0.445,1.05
-0.05,-0.428,1.057
-0.032,-0.417,1.063
-0.004,-0.42,1.06
0.297,-0.665,1.034
0.283,-0.673,1.034
0.265,-0.674,1.03
0.247,-0.674,1.029
0.228,-0.667,1.025
0.228,-0.653,1.021
0.209,-0.653,1.018
0.194,-0.64,1.014
0.187,-0.63,1.014
0.183,-0.625,1.014
0.177,-0.622,1.019
0.169,-0.622,1.028
0.169,-0.62,1.041
0.163,-0.619,1.063
0.163,-0.619,1.079
0.161,-0.619,1.076
0.15,-0.643,1.076
0.13,-0.658,1.043
0.117,-0.66,1.019
0.125,-0.674,1.033
0.125,-0.683,1.053
0.134,-0.694,1.073
0.135,-0.694,1.095
0.131,-0.706,1.095
0.121,-0.715,1.11
0.102,-0.722,1.117
0.077,-0.731,1.117
0.077,-0.731,1.114
0.052,-0.73,1.108
0.03,-0.73,1.097
0.005,-0.729,1.084
-0.023,-0.717,1.084
-0.048,-0.7,1.069
-0.068,-0.68,1.053
-0.086,-0.664,1.034
-0.086,-0.661,1.017
-0.099,-0.676,1
-0.114,-0.676,0.954
-0.13,-0.704,0.954
-0.137,-0.721,0.899
-0.144,-0.722,0.861
-0.152,-0.723,0.819
-0.152,-0.724,0.78
-0.154,-0.718,0.758
-0.143,-0.718,0.736
-0.132,-0.714,0.713
-0.117,-0.705,0.713
-0.081,-0.686,0.72
-0.054,-0.681,0.718
-0.038,-0.69,0.686
-0.038,-0.701,0.648
-0.028,-0.715,0.593
-0.033,-0.715,0.54
-0.041,-0.731,0.415
-0.048,-0.744,0.499
-0.059,-0.755,0.471
-0.07,-0.773,0.461
-0.07,-0.796,0.466
-0.077,-0.819,0.479
-0.086,-0.819,0.491
-0.096,-0.84,0.494
-0.102,-0.861,0.494
-0.11,-0.88,0.48
-0.113,-0.892,0.454
-0.108,-0.895,0.429
-0.108,-0.889,0.409
-0.099,-0.889,0.396
-0.081,-0.87,0.38
-0.058,-0.848,0.354
-0.028,-0.83,0.354
0.005,-0.808,0.321
0.038,-0.783,0.283
0.038,-0.766,0.247
0.07,-0.765,0.207
0.089,-0.765,0.145
0.096,-0.767,0.102
0.11,-0.765,0.102
0.141,-0.78,0.103
0.163,-0.817,0.109
